sample,bestValue,bestWeight,bestFitness,average,time
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.160377ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.073835ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.074264ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.183227ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.113985ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.117448ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.104652ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.083973ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.066975ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.100023ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.082629ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.339537ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.100208ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.080139ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.066419ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.160982ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.087917ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.073789ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.144434ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.074215ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.060152ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.095162ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.065458ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.055926ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.089497ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.077994ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.066972ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.097594ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.074904ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.062312ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.160284ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.064922ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.067789ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.090995ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.067598ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.055329ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.151321ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.073774ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.064767ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.172865ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.112304ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.498478ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.335373ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.146228ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.351093ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.163132ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.096097ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.109717ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.135988ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.183494ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.132292ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.129867ms
